,monto_original,saldo_capital,Cliente,ultima_gestion,cartera,tipo_cartera,descripcion_reaccion,tipo_trabajo,genero,ubicacion_electoral,salario_inferior,salario_superior,edad,Recuperable,year_ultimo_pago
129270,924.56,924.56,136562,2021,CITI,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,390.0,422.5,35,Si,0
129273,914.27,914.27,136565,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,HEREDIA,325.0,357.5,38,Si,2021
129279,823.33,148.5,136571,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,390.0,422.5,37,Si,2021
129280,2129.7,2129.7,136572,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,FEM,SAN JOSE,162.5,195.0,43,Si,2021
129286,3729.1,3729.1,136578,2021,CREDIX,Propia,Promesa de Pago,PROPIO,MASC,ALAJUELA,455.0,487.5,57,Si,2021
129288,1202.45,1202.45,136580,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,455.0,487.5,26,Si,2021
129291,1165.33,1165.33,136583,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,97.5,130.0,23,Si,2021
129296,749.63,749.63,136589,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,455.0,487.5,49,Si,2021
129350,2237.83,2237.83,136645,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,487.5,520.0,30,Si,2021
129370,1413.44,1413.44,136666,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,227.5,260.0,38,Si,2021
129391,1952.92,1952.92,136687,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,65.0,97.5,40,Si,2021
129433,2585.64,2585.64,136729,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,390.0,422.5,35,Si,2021
129437,507.69,507.69,136733,2021,CITI,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,HEREDIA,455.0,487.5,38,Si,2021
129466,4095.99,4095.99,136764,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,292.5,325.0,58,Si,2021
129467,929.31,929.31,136765,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,130.0,162.5,27,Si,0
129471,3156.5,3156.5,136770,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,455.0,487.5,30,Si,2021
129485,898.5,898.5,136786,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,325.0,357.5,29,Si,2021
129491,1450.45,1450.45,136793,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,357.5,390.0,34,Si,2021
129509,1173.18,1173.18,136812,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,812.5,845.0,26,Si,2021
129535,328.3,328.3,136839,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,325.0,357.5,34,Si,2021
129571,1045.32,1045.32,136875,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,195.0,227.5,35,Si,2021
129582,845.64,735.26,136886,2021,CITI,Propia,Incumplimiento de Pago Cumplido,PUBLICO,FEM,ALAJUELA,2080.0,2112.5,54,Si,2021
129587,3745.89,3745.89,136891,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,260.0,292.5,36,Si,2021
129629,2095.49,2095.49,136936,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,ALAJUELA,292.5,325.0,46,Si,0
129639,13091.35,13091.35,136946,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,292.5,325.0,32,Si,2021
129650,1377.24,1261.28,136958,0,Legal,Propia,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,390.0,422.5,38,Si,2012
129717,1307.86,986.5,137032,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,1040.0,1072.5,32,Si,2021
129752,1491.84,1491.84,137067,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,195.0,227.5,27,Si,2021
129761,1154.5,1154.5,137077,2021,DAVIVIENDA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,CARTAGO,422.5,455.0,34,Si,2021
129771,4579.0,4533.54,137087,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,1885.0,1917.5,46,Si,2021
129808,1735.4,1735.4,137125,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,520.0,552.5,56,Si,2021
129843,2507.69,2214.56,137164,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,ALAJUELA,325.0,357.5,48,Si,2021
129847,854.34,854.34,137168,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,HEREDIA,422.5,455.0,30,Si,2021
129878,734.62,734.62,137199,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,227.5,260.0,26,Si,2021
129881,4776.73,4776.73,137202,2021,DAVIVIENDA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,ALAJUELA,1137.5,1170.0,34,Si,2021
129914,1703.02,1703.02,137238,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,PUNTARENAS,1527.5,1560.0,47,Si,2021
129931,1088.03,1088.03,137256,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,130.0,162.5,25,Si,2021
129933,1014.18,1014.18,137258,2021,CREDIX,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,325.0,357.5,34,Si,2021
129938,1342.19,1342.19,137263,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,682.5,715.0,26,Si,2021
129943,751.05,751.05,137268,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,260.0,292.5,57,Si,2021
129945,1718.1,1718.1,137270,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,162.5,195.0,50,Si,2021
129955,1439.11,1439.11,137280,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,1397.5,1430.0,25,Si,2021
130001,8974.62,8974.62,137327,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,SAN JOSE,260.0,292.5,51,Si,2021
130048,985.23,985.23,137374,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,260.0,292.5,29,Si,2021
130049,1316.64,1316.64,137375,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,325.0,357.5,25,Si,2021
130105,988.78,988.78,137434,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,1040.0,1072.5,35,Si,2021
130124,2111.19,2111.19,137456,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,357.5,390.0,43,Si,2021
130140,1471.26,1471.26,137473,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,390.0,422.5,32,Si,2021
130144,3236.27,3236.27,137477,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,HEREDIA,227.5,260.0,41,Si,2021
130158,1583.72,1583.72,137494,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,390.0,422.5,32,Si,2021
130173,850.17,850.17,137511,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,97.5,130.0,38,Si,2021
130180,857.55,857.55,137518,2021,SERVIVALORES,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,455.0,487.5,62,Si,2021
130183,2286.74,2286.74,137521,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,747.5,780.0,33,Si,0
130187,1631.98,1258.06,137525,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,195.0,227.5,42,Si,2021
130207,1352.65,1082.96,137546,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,650.0,682.5,25,Si,2021
130215,998.32,998.32,137555,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,0.0,32.5,32,Si,2021
130224,1037.62,1037.62,137564,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,65.0,97.5,31,Si,2021
130244,2630.19,2630.19,137584,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,CARTAGO,357.5,390.0,34,Si,2021
130246,4639.63,4639.63,137587,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,455.0,487.5,57,Si,2021
130264,3405.05,2892.19,137606,2021,SCOTIABANK,Propia,Contacto sin Promesa,PRIVADO,FEM,ALAJUELA,2535.0,2567.5,47,Si,2018
130268,631.15,535.13,137610,2021,CITI,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,520.0,552.5,35,Si,2021
130272,702.53,702.53,137614,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,ALAJUELA,357.5,390.0,58,Si,2021
130284,2934.54,2934.54,137626,2021,CREDIX,Propia,Promesa de Pago Confirmada,PROPIO,FEM,SAN JOSE,845.0,877.5,50,Si,2021
130297,335.06,335.06,137639,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,CARTAGO,130.0,162.5,34,Si,2021
130304,1386.35,1386.35,137646,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,HEREDIA,617.5,650.0,32,Si,0
130329,1240.14,1240.14,137672,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PROPIO,MASC,SAN JOSE,292.5,325.0,36,Si,0
130360,1241.01,1241.01,137706,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,390.0,422.5,36,Si,2021
130366,276.68,276.68,137712,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,390.0,422.5,35,Si,2021
130370,5985.11,5985.11,137716,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,455.0,487.5,57,Si,2021
130383,1235.82,1235.82,137731,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,97.5,130.0,25,Si,2021
130395,1056.51,1056.51,137743,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PUBLICO,FEM,SAN JOSE,227.5,260.0,34,Si,2021
130400,906.3,906.3,137749,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,357.5,390.0,42,Si,0
130404,2243.12,2243.12,137753,2021,CITI,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,292.5,325.0,39,Si,2021
130437,1974.69,1974.69,137790,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,CARTAGO,65.0,97.5,43,Si,2021
130441,1919.4,1919.4,137794,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,SAN JOSE,487.5,520.0,35,Si,0
130489,1322.54,1322.54,137845,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,SAN JOSE,650.0,682.5,43,Si,0
130506,1213.23,1213.23,137862,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,32.5,65.0,45,Si,2021
130522,932.22,932.22,137880,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,MASC,HEREDIA,1202.5,1235.0,80,Si,0
130524,1082.36,1082.36,137882,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,357.5,390.0,23,Si,2021
130544,6377.56,6377.56,137903,2021,SCOTIABANK,Propia,Promesa de Pago,PUBLICO,MASC,GUANACASTE,1625.0,1657.5,50,Si,2021
130547,1415.76,1415.76,137906,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,ALAJUELA,357.5,390.0,54,Si,2021
130553,400.69,400.69,137912,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,325.0,357.5,25,Si,2021
130573,233.89,233.89,137932,2021,CITI,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,ALAJUELA,422.5,455.0,46,Si,2021
130594,13917.28,13917.28,137953,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,2600.0,2632.5,40,Si,2021
130602,1111.51,1111.51,137961,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,520.0,552.5,26,Si,2021
130606,5465.14,5465.14,137965,2021,SCOTIABANK,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,SAN JOSE,1300.0,1332.5,42,Si,0
130611,4940.59,4940.59,137970,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,HEREDIA,2535.0,2567.5,49,Si,0
130612,2783.22,2783.22,137971,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,162.5,195.0,31,Si,2021
130618,609.76,502.05,137977,2021,CREDIX,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,390.0,422.5,31,Si,2021
130668,6254.9,6254.9,138030,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,FEM,SAN JOSE,32.5,65.0,34,Si,0
130680,1377.24,1377.24,138043,0,Legal,Propia,Traslado de cuenta (Distribución),PROPIO,MASC,SAN JOSE,422.5,455.0,38,Si,0
130719,4614.59,4614.59,138087,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,MASC,ALAJUELA,1007.5,1040.0,56,Si,2021
130731,1050.75,1050.75,138099,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,357.5,390.0,31,Si,2019
130733,234.85,234.85,138101,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,130.0,162.5,64,Si,2021
130748,803.19,803.19,138118,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,585.0,617.5,36,Si,2021
130794,1493.36,1493.36,138167,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,130.0,162.5,46,Si,2021
130804,9601.97,9601.97,138177,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PUBLICO,MASC,SAN JOSE,682.5,715.0,42,Si,2021
130822,546.02,546.02,138195,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,162.5,195.0,36,Si,2021
130829,1369.22,1244.72,138202,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,227.5,260.0,28,Si,2021
130836,3139.86,3139.86,138210,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,292.5,325.0,43,Si,2021
130844,394.64,394.64,138218,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,FEM,SAN JOSE,325.0,357.5,32,Si,0
130850,486.08,486.08,138225,2021,SERVIVALORES,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,357.5,390.0,34,Si,2021
130859,276.18,276.18,138235,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,325.0,357.5,37,Si,2021
130866,535.77,535.77,138242,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,715.0,747.5,25,Si,2021
130875,6932.62,6932.62,138253,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,780.0,812.5,41,Si,0
130877,15783.11,15783.11,138255,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,ALAJUELA,1592.5,1625.0,40,Si,2021
130878,672.02,672.02,138256,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,130.0,162.5,67,Si,2021
130896,1478.14,1478.14,138274,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,292.5,325.0,65,Si,2021
130918,4323.59,1806.28,138297,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1040.0,1072.5,32,Si,2021
130926,658.45,617.02,138305,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,97.5,130.0,53,Si,2021
130927,1292.7,1292.7,138306,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,195.0,227.5,56,Si,2021
130971,1245.66,1115.93,138352,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,455.0,487.5,26,Si,2021
130986,19.02,8.32,138369,0,CREDIQ,Propia,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,260.0,292.5,36,Si,2020
131004,1237.66,788.19,138387,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,357.5,390.0,31,Si,2021
131018,868.27,868.27,138404,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,PUNTARENAS,390.0,422.5,35,Si,2021
131033,970.14,471.63,138419,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,292.5,325.0,36,Si,2021
131034,2098.23,2090.68,138420,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,585.0,617.5,38,Si,2021
131041,151.07,47.78,138427,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,292.5,325.0,37,Si,2021
131062,1783.76,1783.76,138448,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,487.5,520.0,29,Si,2021
131068,1296.83,1296.83,138454,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,260.0,292.5,27,Si,2021
131078,9527.54,9527.54,138464,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,3510.0,3542.5,43,Si,2021
131089,4174.08,4174.08,138475,2021,DAVIVIENDA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,HEREDIA,390.0,422.5,40,Si,2021
131131,4505.04,3583.87,138519,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,780.0,812.5,25,Si,2021
131149,1004.75,1004.75,138538,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,422.5,455.0,27,Si,2021
131161,1054.74,1054.74,138550,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,MASC,LIMON,747.5,780.0,59,Si,0
131171,1431.14,881.24,138560,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,877.5,910.0,23,Si,2021
131179,774.75,774.75,138569,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,65.0,97.5,61,Si,2018
131181,3202.94,3202.94,138571,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,585.0,617.5,26,Si,2021
131188,2175.61,2175.61,138579,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,975.0,1007.5,57,Si,2021
131191,4603.07,4603.07,138582,2021,DAVIVIENDA,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,845.0,877.5,44,Si,2021
131201,2055.39,2055.39,138592,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,422.5,455.0,31,Si,2021
131217,711.51,711.51,138608,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,617.5,650.0,31,Si,2021
131226,1215.42,1215.42,138618,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,552.5,585.0,27,Si,0
131232,1016.54,1010.48,138624,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,390.0,422.5,46,Si,2021
131237,797.85,797.85,138629,2021,DAVIVIENDA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,422.5,455.0,51,Si,2021
131257,2098.65,624.61,138650,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,780.0,812.5,66,Si,2021
131259,915.51,915.51,138652,2021,CITI,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,ALAJUELA,65.0,97.5,61,Si,2021
131280,3191.42,3191.42,138674,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,715.0,747.5,34,Si,2021
131286,918.47,918.47,138681,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,SAN JOSE,455.0,487.5,42,Si,2021
131314,2816.46,2816.46,138709,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,585.0,617.5,46,Si,2021
131315,981.97,981.97,138710,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,HEREDIA,325.0,357.5,48,Si,2021
131348,2315.45,2315.45,138744,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PUBLICO,MASC,LIMON,1917.5,1950.0,58,Si,2021
131385,554.2,554.2,138782,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,162.5,195.0,34,Si,0
131389,13131.96,13131.96,138787,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,2925.0,2957.5,55,Si,2021
131407,14447.79,14447.79,138807,2021,SCOTIABANK,Propia,Promesa de Pago,PUBLICO,MASC,GUANACASTE,1625.0,1657.5,50,Si,2021
131415,5633.27,5633.27,138815,2021,DAVIVIENDA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,ALAJUELA,195.0,227.5,31,Si,0
131446,1392.55,631.1,138851,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,1755.0,1787.5,35,Si,2021
131449,2336.81,2336.81,138854,2021,CREDIX,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,FEM,ALAJUELA,292.5,325.0,41,Si,2021
131461,1198.27,1198.27,138866,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,325.0,357.5,42,Si,2021
131462,1132.39,1132.39,138867,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,65.0,97.5,36,Si,2021
131493,3319.27,3319.27,138898,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,1235.0,1267.5,59,Si,2021
131512,1176.9,1176.9,138921,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,422.5,455.0,40,Si,0
131525,118.82,118.82,138936,2021,SERVIVALORES,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,CARTAGO,65.0,97.5,39,Si,2021
131529,7206.88,7039.92,138940,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,LIMON,455.0,487.5,64,Si,2021
131548,738.75,738.75,138959,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,357.5,390.0,31,Si,0
131549,1632.56,1436.58,138960,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,SAN JOSE,1170.0,1202.5,36,Si,2019
131564,4125.3,4125.3,138975,2021,DAVIVIENDA,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,CARTAGO,422.5,455.0,34,Si,2021
131567,882.17,882.17,138978,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,292.5,325.0,27,Si,2021
131586,873.7,873.7,138997,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,0.0,32.5,63,Si,2021
131590,8760.2,8760.2,139001,2021,SCOTIABANK,Propia,Incumplimiento de Pago Confirmado,PROPIO,MASC,SAN JOSE,422.5,455.0,47,Si,2021
131599,2040.09,2013.77,139010,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PROPIO,MASC,SAN JOSE,455.0,487.5,41,Si,2021
131604,1487.82,1487.82,139015,2021,DAVIVIENDA,Propia,Promesa de Pago Confirmada,PUBLICO,FEM,ALAJUELA,5362.51,5395.01,59,Si,2021
131628,6857.69,6637.43,139040,2021,DAVIVIENDA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,975.0,1007.5,27,Si,2021
131638,551.4,551.4,139051,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PROPIO,FEM,SAN JOSE,65.0,97.5,56,Si,2010
131641,2654.24,2654.24,139054,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,487.5,520.0,50,Si,2021
131642,2129.4,1866.75,139055,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,260.0,292.5,38,Si,2021
131669,955.31,955.31,139084,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,390.0,422.5,36,Si,2021
131670,1573.31,1573.31,139085,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,422.5,455.0,35,Si,2021
131679,1642.4,1642.4,139095,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,552.5,585.0,25,Si,0
131690,1825.21,773.98,139107,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,292.5,325.0,27,Si,2021
131692,719.07,694.42,139109,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,357.5,390.0,47,Si,2021
131712,1180.69,785.12,139130,2021,CREDIX,Propia,Promesa de Pago Confirmada,PUBLICO,MASC,HEREDIA,195.0,227.5,39,Si,2021
131722,1946.41,1946.41,139142,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,FEM,LIMON,162.5,195.0,31,Si,0
131729,4112.02,4112.02,139149,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,325.0,357.5,43,Si,2021
131744,2275.04,2275.04,139167,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,520.0,552.5,32,Si,2021
131756,1012.99,1012.99,139179,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,FEM,ALAJUELA,520.0,552.5,41,Si,0
131777,652.67,652.67,139201,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,520.0,552.5,28,Si,2021
